Date,Last Price
20/04/2022,21.19
19/04/2022,21.37
18/04/2022,22.17
14/04/2022,22.7
13/04/2022,21.82
12/04/2022,24.26
11/04/2022,24.37
08/04/2022,21.16
07/04/2022,21.55
06/04/2022,22.1
05/04/2022,21.03
04/04/2022,18.57
01/04/2022,19.63
31/03/2022,20.56
30/03/2022,19.33
29/03/2022,18.9
28/03/2022,19.63
25/03/2022,20.81
24/03/2022,21.67
23/03/2022,23.57
22/03/2022,22.94
21/03/2022,23.53
18/03/2022,23.87
17/03/2022,25.67
16/03/2022,26.67
15/03/2022,29.83
14/03/2022,31.77
11/03/2022,30.75
10/03/2022,30.23
09/03/2022,32.45
08/03/2022,35.13
07/03/2022,36.45
04/03/2022,31.98
03/03/2022,30.48
02/03/2022,30.74
01/03/2022,33.32
28/02/2022,30.15
25/02/2022,27.59
24/02/2022,30.32
23/02/2022,31.02
22/02/2022,28.81
18/02/2022,27.75
17/02/2022,28.11
16/02/2022,24.29
15/02/2022,25.7
14/02/2022,28.33
11/02/2022,27.36
10/02/2022,23.91
09/02/2022,19.96
08/02/2022,21.44
07/02/2022,22.86
04/02/2022,23.22
03/02/2022,24.35
02/02/2022,22.09
01/02/2022,21.96
31/01/2022,24.83
28/01/2022,27.66
27/01/2022,30.49
26/01/2022,31.96
25/01/2022,31.16
24/01/2022,29.9
21/01/2022,28.85
20/01/2022,25.59
19/01/2022,23.85
18/01/2022,22.79
14/01/2022,19.19
13/01/2022,20.31
12/01/2022,17.62
11/01/2022,18.41
10/01/2022,19.4
07/01/2022,18.76
06/01/2022,19.61
05/01/2022,19.73
04/01/2022,16.91
03/01/2022,16.6
31/12/2021,17.22
30/12/2021,17.33
29/12/2021,16.95
28/12/2021,17.54
27/12/2021,17.68
23/12/2021,17.96
22/12/2021,18.63
21/12/2021,21.01
20/12/2021,22.87
17/12/2021,21.57
16/12/2021,20.57
15/12/2021,19.29
14/12/2021,21.89
13/12/2021,20.31
10/12/2021,18.69
09/12/2021,21.58
08/12/2021,19.9
07/12/2021,21.89
06/12/2021,27.18
03/12/2021,30.67
02/12/2021,27.95
01/12/2021,31.12
30/11/2021,27.19
29/11/2021,22.96
26/11/2021,28.62
24/11/2021,18.58
23/11/2021,19.38
22/11/2021,19.17
19/11/2021,17.91
18/11/2021,17.59
17/11/2021,17.11
16/11/2021,16.37
15/11/2021,16.49
12/11/2021,16.29
11/11/2021,17.66
10/11/2021,18.73
09/11/2021,17.78
08/11/2021,17.22
05/11/2021,16.48
04/11/2021,15.44
03/11/2021,15.1
02/11/2021,16.03
01/11/2021,16.41
29/10/2021,16.26
28/10/2021,16.53
27/10/2021,16.98
26/10/2021,15.98
25/10/2021,15.24
22/10/2021,15.43
21/10/2021,15.01
20/10/2021,15.49
19/10/2021,15.7
18/10/2021,16.31
15/10/2021,16.3
14/10/2021,16.86
13/10/2021,18.64
12/10/2021,19.85
11/10/2021,20
08/10/2021,18.77
07/10/2021,19.54
06/10/2021,21
05/10/2021,21.3
04/10/2021,22.96
01/10/2021,21.15
30/09/2021,23.14
29/09/2021,22.56
28/09/2021,23.25
27/09/2021,18.76
24/09/2021,17.75
23/09/2021,18.63
22/09/2021,20.87
21/09/2021,24.36
20/09/2021,25.71
17/09/2021,20.81
16/09/2021,18.69
